tweet_id,favorites,retweets
892420643555336193,36938,7872
892177421306343426,31785,5844
891815181378084864,23954,3859
891689557279858688,40264,8034
891327558926688256,38463,8703
891087950875897856,19346,2894
890971913173991426,11276,1913
890729181411237888,62279,17585
890609185150312448,26619,3995
890240255349198849,30459,6840
890006608113172480,29328,6826
889880896479866881,26615,4645
889665388333682689,45915,9334
889638837579907072,25864,4190
889531135344209921,14451,2105
889278841981685760,24063,4982
888917238123831296,27809,4194
888804989199671297,24431,3968
888554962724278272,18898,3266
888078434458587136,20796,3227
887705289381826560,28864,5014
887517139158093824,44250,10942
887473957103951883,65779,16808
887343217045368832,32168,9746
887101392804085760,29212,5544
886983233522544640,33474,7146
886736880519319552,11483,3010
886680336477933568,21429,4155
886366144734445568,20212,2961
886267009285017600,115,4
886258384151887873,26708,5877
886054160059072513,0,101
885984800019947520,31140,6289
885528943205470208,34371,5963
885518971528720385,19551,3477
885311592912609280,0,17283
885167619883638784,20936,4080
884925521741709313,73803,16889
884876753390489601,26626,5211
884562892145688576,23215,4379
884441805382717440,25824,5296
884247878851493888,69625,18971
884162670584377345,19473,2779
883838122936631299,20880,3216
883482846933004288,43856,9226
883360690899218434,21662,3454
883117836046086144,35476,6193
882992080364220416,22839,3637
882762694511734784,27039,4562
882627270321602560,26698,5652
882268110199369728,42897,10811
882045870035918850,28021,4575
881906580714921986,23250,3173
881666595344535552,48407,9959
881633300179243008,121,7
881536004380872706,47246,14901
881268444196462592,22170,4893
880935762899988482,16277,2603
880872448815771648,20347,3566
880465832366813184,27263,5816
880221127280381952,25799,3909
880095782870896641,26416,4042
879862464715927552,21363,3254
879674319642796034,300,10
879492040517615616,22442,2976
879415818425184262,101215,41428
879376492567855104,16077,2923
879130579576475649,0,6355
879050749262655488,21551,4365
879008229531029506,18151,2508
878776093423087618,18536,3827
878604707211726852,28865,6674
878404777348136964,0,1201
878316110768087041,0,6236
878281511006478336,7388,1201
878057613040115712,40253,6355
877736472329191424,76050,17776
877611172832227328,0,74
877556246731214848,21737,3564
877316821321428993,26227,4848
877201837425926144,25946,5225
876838120628539392,19818,3117
876537666061221889,22580,4376
876484053909872640,17981,2227
876120275196170240,26754,4367
875747767867523072,24119,3989
875144289856114688,21001,4610
875097192612077568,26303,5695
875021211251597312,24410,4430
874680097055178752,26674,4347
874434818259525634,0,13688
874296783580663808,24964,3861
874057562936811520,21789,3723
874012996292530176,33027,9675
873580283840344065,23231,3699
873337748698140672,0,1497
873213775632977920,6897,1497
872967104147763200,26205,5096
872820683541237760,14141,3488
872620804844003328,19934,3440
872486979161796608,39122,8494
872122724285648897,33053,7646
871879754684805121,36313,10417
871762521631449091,19475,3284
871515927908634625,19408,3270
871166179821445120,0,5403
871102520638267392,20165,5207
871032628920680449,21864,3609
870804317367881728,32417,5866
870726314365509632,118,3
870656317836468226,11942,2493
870374049280663552,79889,25043
870308999962521604,21094,3934
870063196459192321,35311,7882
869772420881756160,41002,9570
869702957897576449,27263,5996
869596645499047938,15431,2980
869227993411051520,19745,3594
868880397819494401,63298,13726
868639477480148993,0,1975
868622495443632128,25837,5046
868552278524837888,9777,1975
867900495410671616,23451,3985
867774946302451713,32897,7002
867421006826221569,15613,2375
867072653475098625,0,116
867051520902168576,31233,7519
866720684873056260,19444,4586
866686824827068416,18703,3318
866450705531457537,118677,33722
866334964761202691,50942,13688
866094527597207552,0,8030
865718153858494464,24916,5377
865359393868664832,25734,4787
865006731092295680,27227,7363
864873206498414592,31385,8354
864279568663928832,14192,2899
864197398364647424,29235,8523
863907417377173506,20052,3966
863553081350529029,14887,4021
863471782782697472,0,2337
863432100342583297,23221,5044
863427515083354112,2175,92
863079547188785154,8550,1064
863062471531167744,8265,2337
862831371563274240,18694,4957
862722525377298433,16661,3411
862457590147678208,19981,4761
862096992088072192,72628,22360
861383897657036800,35258,10339
861288531465048066,16807,3997
861005113778896900,16324,3691
860981674716409858,0,2081
860924035999428608,0,781
860563773140209665,7348,2081
860524505164394496,23127,5136
860276583193509888,17964,3386
860184849394610176,16320,5663
860177593139703809,0,29986
859924526012018688,19178,3978
859851578198683649,15111,3398
859607811541651456,18227,1518
859196978902773760,88131,29268
859074603037188101,33250,13241
858860390427611136,0,7910
858843525470990336,15284,3405
858471635011153920,21113,4728
858107933456039936,15461,2839
857989990357356544,15848,2530
857746408056729600,33672,10362
857393404942143489,5804,1602
857263160327368704,19723,4409
857214891891077121,222,16
857062103051644929,0,166
857029823797047296,18628,3916
856543823941562368,16074,2823
856526610513747968,11705,1841
856330835276025856,0,652
856288084350160898,508,15
856282028240666624,27409,6175
855862651834028034,341,25
855860136149123072,4919,975
855857698524602368,11731,2079
855851453814013952,45077,17616
855818117272018944,26353,5332
855459453768019968,29571,8086
855245323840757760,0,5870
855138241867124737,0,44
854732716440526848,22623,5979
854482394044301312,29064,6800
854365224396361728,18751,4634
854120357044912130,31774,7419
854010172552949760,16103,3120
853760880890318849,28446,5688
853639147608842240,34616,9992
853299958564483072,15437,3523
852936405516943360,0,1991
852912242202992640,9027,1812
852672615818899456,14877,2133
852553447878664193,16276,3471
852311364735569921,33084,9880
852226086759018497,19985,6817
852189679701164033,11453,1578
851861385021730816,0,19
851591660324737024,16248,3465
851464819735769094,24265,7048
851224888060895234,20707,5717
850753642995093505,30945,9137
850380195714523136,13122,2615
850333567704068097,3468,331
850145622816686080,16391,3803
850019790995546112,20501,4876
849776966551130114,30613,7616
849668094696017920,0,4955
849412302885593088,15942,3166
849336543269576704,11462,1906
849051919805034497,42595,8503
848690551926992896,25330,4337
848324959059550208,24909,4616
848213670039564288,8241,736
848212111729840128,16438,3065
847978865427394560,0,3279
847971574464610304,0,432
847962785489326080,23676,5118
847842811428974592,5489,1339
847617282490613760,7045,419
847606175596138505,18916,3437
847251039262605312,20648,4320
847157206088847362,20093,5910
847116187444137987,21623,3206
846874817362120707,20277,3950
846514051647705089,45058,11668
846505985330044928,14230,3087
846153765933735936,31983,9128
846139713627017216,31300,10076
846042936437604353,16152,2899
845812042753855489,29573,8791
845677943972139009,25425,4839
845397057150107648,7708,1821
845306882940190720,23599,5446
845098359547420673,0,7745
844979544864018432,13798,2587
844973813909606400,15279,3240
844580511645339650,16680,3166
844223788422217728,13812,2225
843981021012017153,15348,2980
843856843873095681,21737,4674
843604394117681152,17113,2774
843235543001513987,21820,6101
842846295480000512,15449,3680
842765311967449089,6849,1301
842535590457499648,18349,3555
842163532590374912,24818,5870
842115215311396866,14201,3076
841833993020538882,0,15400
841680585030541313,26092,7911
841439858740625411,12848,3744
841320156043304961,20088,5575
841314665196081154,16076,4744
841077006473256960,23224,5403
840761248237133825,0,1794
840728873075638272,0,16421
840698636975636481,178,2
840696689258311684,12476,991
840632337062862849,9136,1794
840370681858686976,16721,4625
840268004936019968,19598,5834
839990271299457024,13646,2322
839549326359670784,27981,7910
839290600511926273,0,146
839239871831150596,27669,6649
838952994649550848,19980,4066
838921590096166913,11349,2100
838916489579200512,0,35
838831947270979586,0,11241
838561493054533637,11118,1358
838476387338051585,22977,4876
838201503651401729,0,10277
838150277551247360,1706,338
838085839343206401,143,1
838083903487373313,17963,3212
837820167694528512,34816,8029
837482249356513284,3911,448
837471256429613056,13051,2323
837110210464448512,16366,2423
836989968035819520,12993,2334
836753516572119041,19690,4739
836677758902222849,12858,2268
836648853927522308,0,561
836397794269200385,0,28177
836380477523124226,15061,3047
836260088725786625,21745,4391
836001077879255040,19492,4352
835685285446955009,0,8318
835574547218894849,18164,3690
835536468978302976,0,1737
835309094223372289,0,21507
